"","Site_Names","Site_code","Zone","Lat","Long","Landowner","Active_","Spring_202","Summer_202","Fall_2022","Summer_203","Fall_2023","Seasons_wi","Directions","Additional","Field16","Field17","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26","Field27","geometry"
"21","Tilden Nature Area-Loop Road Parking","TNA-LR",3,37.9043,-122.26024,"East Bay Regional Parks","Active","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.26024, 37.9043)
"22","Tilden Regional Park-Nimitz Way","TRP-NW",3,37.90567,-122.2481,"East Bay Regional Parks","Active","No","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.2481, 37.90567)
"23","Tilden Regional Park-Lake Anza","TRP-LA",3,37.89683,-122.24945,"East Bay Regional Parks","Active","No","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.24945, 37.8968300000001)
"24","Tilden Regional Park-Arroyo Trail","TRP-AT",3,37.88956,-122.2343,"East Bay Regional Parks","Active","No","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.2343, 37.8895600000001)
"25","Tilden Regional Park-Seaview Trail","TRP-ST",3,37.88219,-122.2234,"East Bay Regional Parks","Active","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.2234, 37.88219)
"26","Annaliese and David Home","ADH",3,37.88741,-122.21029,"Private landowner","Active","Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.21029, 37.88741)
"27","Lawrence Hall of Science","LHS",4,37.87892,-122.24732,"Lawrence Hall of Science","Active","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.24732, 37.87892)
"28","Foothill Lot","FL",4,37.87326,-122.24882,"UC Berkeley","Active","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.24882, 37.8732600000001)
"29","Claremont-Clark Kerr Track","CCK",4,37.86408,-122.24519,"East Bay Regional Parks","Active","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.24519, 37.8640800000001)
"30","UCB Women’s Faculty Club","UCB-WC",4,37.87217,-122.25529,"UC Berkeley","Active","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-122.25529, 37.87217)
